2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:04:59 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:07:57 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:07:57 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:07:57 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:07:57 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:07:57 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
2021-08-11 11:07:57 [ad-1] DEBUG o.s.d.mongodb.core.MongoTemplate         : Saving Document containing fields: [_id, content, _class]
